source_doc_id,entity,entity_type,source,method,confidence,evidence
166170,Quốc hội,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Quốc hội
166170,Vương Đình Huệ,NguoiKy,metadata.nguoi_ky,metadata,0.99,Vương Đình Huệ
166170,Tín dụng,LinhVuc,metadata.linh_vuc,metadata,0.99,Tín dụng
166170,Quốc hội,CoQuan,content_clean,gemini,0.95,Quốc hội ban hành Luật Các tổ chức tín dụng.
166170,Vương Đình Huệ,NguoiKy,content_clean,gemini,0.95,CHỦ TỊCH QUỐC HỘI Vương Đình Huệ
166170,Tổ chức tín dụng,DoiTuongApDung,content_clean,gemini,0.95,Điều 2. Đối tượng áp dụng 1. Tổ chức tín dụng.
166170,Chi nhánh ngân hàng nước ngoài,DoiTuongApDung,content_clean,gemini,0.95,2. Chi nhánh ngân hàng nước ngoài.
166170,"Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng",DoiTuongApDung,content_clean,gemini,0.9,"3. Văn phòng đại diện tại Việt Nam của tổ chức tín dụng nước ngoài, tổ chức nước ngoài khác có hoạt động ngân hàng (sau đây gọi là văn phòng đại diện nước ngoài)."
166170,"Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ",DoiTuongApDung,content_clean,gemini,0.9,"4. Tổ chức mà Nhà nước sở hữu 100% vốn điều lệ có chức năng mua, bán, xử lý nợ (sau đây gọi là tổ chức mua bán, xử lý nợ)."
166170,"Cơ quan, tổ chức, cá nhân có liên quan",DoiTuongApDung,content_clean,gemini,0.9,"5. Cơ quan, tổ chức, cá nhân có liên quan đến việc thành lập, tổ chức, hoạt động, can thiệp sớm, kiểm soát đặc biệt, tổ chức lại, giải thể, phá sản tổ chức tín dụng"
112025,Chính phủ,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Chính phủ
112025,Nguyễn Xuân Phúc,NguoiKy,metadata.nguoi_ky,metadata,0.99,Nguyễn Xuân Phúc
112025,CHÍNH PHỦ,CoQuan,content_clean,gemini,0.95,"Chính phủ ban hành Nghị định quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm."
112025,Nguyễn Xuân Phúc,NguoiKy,content_clean,gemini,0.95,TM. CHÍNH PHỦ THỦ TƯỚNG CHÍNH PHỦ (Đã ký) Nguyễn Xuân Phúc
112025,Doanh nghiệp bảo hiểm,DoiTuongApDung,content_clean,gemini,0.95,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
112025,Chi nhánh nước ngoài,DoiTuongApDung,content_clean,gemini,0.95,b) Chi nhánh nước ngoài;
112025,"Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm",DoiTuongApDung,content_clean,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,"Các tổ chức, cá nhân khác có liên quan",DoiTuongApDung,content_clean,gemini,0.9,"d) Các tổ chức, cá nhân khác có liên quan."
38128,Ngân hàng Nhà nước Việt Nam,CoQuan,metadata.co_quan_ban_hanh,metadata,0.99,Ngân hàng Nhà nước Việt Nam
38128,Đào Minh Tú,NguoiKy,metadata.nguoi_ky,metadata,0.99,Đào Minh Tú
38128,Phát hành và kho quỹ,LinhVuc,metadata.linh_vuc,metadata,0.99,Phát hành và kho quỹ
38128,Ngân hàng Nhà nước Việt Nam,CoQuan,content_clean,gemini,1.0,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM
38128,Đào Minh Tú,NguoiKy,content_clean,gemini,1.0,KT. THỐNG ĐỐC PHÓ THỐNG ĐỐC (Đã ký) Đào Minh Tú
38128,Các đơn vị có liên quan thuộc Ngân hàng Nhà nước,DoiTuongApDung,content_clean,gemini,1.0,Điều 2. Đối tượng áp dụng 1. Các đơn vị có liên quan thuộc Ngân hàng Nhà nước.
38128,Nhà máy in tiền Quốc gia,DoiTuongApDung,content_clean,gemini,1.0,2. Nhà máy in tiền Quốc gia.
