question_id,method,expected_chunk_id,top_5,error,hit_at_1,hit_at_3,hit_at_5
q1,bm25,9fd778b0-2d53-11f1-a3c8-2f5ac0f7b002,9fd778b0-2d53-11f1-a3c8-2f5ac0f7b002|3975c174-df58-11f0-a534-33ae3b11aa02|d520f0f4-df57-11f0-b1b9-3daab880ece1|a03333aa-df3b-11f0-9f41-1b7f4da0ae9e|3fd04e90-29bd-11f1-8623-0be82454fcf6,,1,1,1
q1,dense,9fd778b0-2d53-11f1-a3c8-2f5ac0f7b002,62880a1a-2c04-11f1-8b96-8fde10544c59|a4e141aa-df57-11f0-884f-bfe980761ac9|628e99c0-2c04-11f1-ba5b-2ff0f8d8252b|6da4a9d0-2d44-11f1-80c4-7bac7b8341b7|2e1fe820-2343-11f1-abe1-6bfd3b1b03e3,,0,0,0
q1,hybrid,9fd778b0-2d53-11f1-a3c8-2f5ac0f7b002,3975c174-df58-11f0-a534-33ae3b11aa02|d520f0f4-df57-11f0-b1b9-3daab880ece1|3fd04e90-29bd-11f1-8623-0be82454fcf6|2e1fe820-2343-11f1-abe1-6bfd3b1b03e3|93f5c7e4-df3e-11f0-a949-ef59080c0355,,0,0,0
q1,hybrid_rerank,9fd778b0-2d53-11f1-a3c8-2f5ac0f7b002,62880a1a-2c04-11f1-8b96-8fde10544c59|628e99c0-2c04-11f1-ba5b-2ff0f8d8252b|6da4a9d0-2d44-11f1-80c4-7bac7b8341b7|3975c174-df58-11f0-a534-33ae3b11aa02|d520f0f4-df57-11f0-b1b9-3daab880ece1,,0,0,0
q2,bm25,44209-a71-2,9ffcdb28-2d53-11f1-b097-8974a54b7b0a|9fe3fbee-2d53-11f1-9d3d-e316384c20ed|9febeb10-2d53-11f1-b8cf-d713980b42d5|93f6905c-df3e-11f0-976e-074c0fae8f74|93f68f94-df3e-11f0-98fd-835031cad16d,,0,0,0
q2,dense,44209-a71-2,177271-a10-18|000e0110-31b7-11f1-b78f-9d1f7b5918ca|0e056334-eb9a-11f0-8f82-4dfa2641800d|000d3dc0-31b7-11f1-8926-41729aa4e4a5|c04af40a-e172-11f0-a78a-8347d665f898,,0,0,0
q2,hybrid,44209-a71-2,9fe3fbee-2d53-11f1-9d3d-e316384c20ed|00057590-31b7-11f1-9378-0d7da3d2acf7|177271-a10-18|9ffcdb28-2d53-11f1-b097-8974a54b7b0a|000e0110-31b7-11f1-b78f-9d1f7b5918ca,,0,0,0
q2,hybrid_rerank,44209-a71-2,9fe3fbee-2d53-11f1-9d3d-e316384c20ed|44209-a71-2|9ffcdb28-2d53-11f1-b097-8974a54b7b0a|00057590-31b7-11f1-9378-0d7da3d2acf7|000e0110-31b7-11f1-b78f-9d1f7b5918ca,,0,1,1
q3,bm25,a00abdb0-2d53-11f1-9dd8-ddb28ac01b54,a00abdb0-2d53-11f1-9dd8-ddb28ac01b54|111deab0-250a-11f1-a0f1-e97141b4e535|3c7c3d70-21ad-11f1-a3b6-43e611431040|93f6dc56-df3e-11f0-b930-59f13e575ab4|2d62c406-eb90-11f0-b210-a3b81a3166ae,,1,1,1
q3,dense,a00abdb0-2d53-11f1-9dd8-ddb28ac01b54,111deab0-250a-11f1-a0f1-e97141b4e535|a00abdb0-2d53-11f1-9dd8-ddb28ac01b54|93f6dc6a-df3e-11f0-a031-25ad7ca8f2ba|c04b00da-e172-11f0-9a1a-57d8c618ee0f|6f20ddc0-21b8-11f1-b368-7ded062961cb,,0,1,1
q3,hybrid,a00abdb0-2d53-11f1-9dd8-ddb28ac01b54,111deab0-250a-11f1-a0f1-e97141b4e535|a00abdb0-2d53-11f1-9dd8-ddb28ac01b54|c04b00da-e172-11f0-9a1a-57d8c618ee0f|3c7c3d70-21ad-11f1-a3b6-43e611431040|93f6dc6a-df3e-11f0-a031-25ad7ca8f2ba,,0,1,1
q3,hybrid_rerank,a00abdb0-2d53-11f1-9dd8-ddb28ac01b54,a00abdb0-2d53-11f1-9dd8-ddb28ac01b54|2edbe520-2343-11f1-927f-ebccc1999258|d521b692-df57-11f0-aa14-2df73da025b8|2d62c406-eb90-11f0-b210-a3b81a3166ae|397636d6-df58-11f0-b269-216a7cf79719,,1,1,1
