source,target,relationship_type,method,confidence,evidence
112025,ent_015434e5efab2d77,BAN_HANH_BOI,metadata,0.99,Chính phủ
112025,ent_0437d2be7032e6f3,AP_DUNG_CHO,gemini,0.95,"c) Doanh nghiệp môi giới bảo hiểm, đại lý bảo hiểm;"
112025,ent_090bf89f55f64c81,AP_DUNG_CHO,gemini,0.9,"d) Các tổ chức, cá nhân khác có liên quan."
112025,ent_3c0d3dae7afa29e9,KY_BOI,metadata,0.99,Nguyễn Xuân Phúc
112025,ent_798f27e3c0786d74,AP_DUNG_CHO,gemini,0.95,b) Chi nhánh nước ngoài;
112025,ent_7c65ba914db36111,AP_DUNG_CHO,gemini,0.95,Nghị định này áp dụng đối với: a) Doanh nghiệp bảo hiểm;
112924,95652,THAM_CHIEU,rule,0.95,Căn cứ Nghị định số 135/2015/NĐ-CP ngày 31 tháng 12 năm 2015 của Chính phủ quy định về đầu tư gián tiếp ra nước ngoài;
112924,ent_06e3fa9da5e30415,KY_BOI,metadata,0.99,Trần Xuân Hà
112924,ent_baaea301a2766d3a,AP_DUNG_CHO,gemini,0.95,"Thông tư này áp dụng đối với tổ chức kinh doanh chứng khoán, quỹ đầu tư chứng khoán, công ty đầu tư chứng khoán, doanh nghiệp kinh doanh bảo hiểm và các cơ quan, tổ chức, cá nhân có liên quan đến hoạt động đầu tư gián tiếp ra nước ngoài."
112924,ent_f738d9f6982c7b6f,BAN_HANH_BOI,metadata,0.99,Bộ Tài chính
117310,25692,THAM_CHIEU,rule,0.95,"NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 41/2016/TT-NHNN Hà Nội, Ngày 30 tháng 12 năm 2016 THÔNG TƯ Quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam số 46/2010/QH12 ngày 16 tháng 6 năm 2010;"
117310,ent_67185c6a27ee2bf2,KY_BOI,metadata,0.99,Nguyễn Đồng Tiến
117310,ent_98c0694606f989b8,BAN_HANH_BOI,metadata,0.99,Ngân hàng Nhà nước Việt Nam
117310,ent_a0f80c00e2d551f4,AP_DUNG_CHO,gemini,0.95,"Đối tượng áp dụng gồm: a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài; b) Chi nhánh ngân hàng nước ngoài."
117310,ent_a7a0a5d367420fae,AP_DUNG_CHO,gemini,0.95,"Đối tượng áp dụng gồm: a) Ngân hàng: Ngân hàng thương mại nhà nước, ngân hàng thương mại cổ phần, ngân hàng liên doanh, ngân hàng 100% vốn nước ngoài;"
117310,ent_f9b6a1560b8cb974,THUOC_LINH_VUC,metadata,0.99,"Thanh tra, giám sát ngân hàng"
133858,ent_015434e5efab2d77,BAN_HANH_BOI,metadata,0.99,Chính phủ
133858,ent_065f0aea2863ba2e,AP_DUNG_CHO,gemini,0.95,"a) Các bộ, cơ quan ngang bộ, cơ quan thuộc Chính phủ;"
133858,ent_3c0d3dae7afa29e9,KY_BOI,metadata,0.99,Nguyễn Xuân Phúc
133858,ent_3ffb0b55f67aafbb,AP_DUNG_CHO,gemini,0.95,c) Các đơn vị sự nghiệp công lập;
133858,ent_5e0c2094bd0898ac,AP_DUNG_CHO,gemini,0.95,"đ) Các tổ chức, cá nhân khác có liên quan đến hoạt động kiểm toán nội bộ."
133858,ent_d7fcda4370f4315d,AP_DUNG_CHO,gemini,0.95,d) Các doanh nghiệp;
133858,ent_fb0157b6ffe48c04,AP_DUNG_CHO,gemini,0.95,"b) Ủy ban nhân dân các tỉnh, thành phố trực thuộc trung ương;"
143217,133858,THAM_CHIEU,rule,0.95,Căn cứ Nghị định số 05/2019/NĐ-CP ngày 22 thảng 01 năm 2019 của Chính phủ về kiếm toán nội bộ;
143217,ent_17370a142731f7d3,AP_DUNG_CHO,gemini,0.9,Thông tư này áp dụng đối với các doanh nghiệp quy định tại khoản 1 Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiếm toán nội bộ.
143217,ent_b118f8488148ab18,AP_DUNG_CHO,gemini,0.85,Các doanh nghiệp không thuộc quy định tại khoản 1 Điều này được khuyến khích xây dựng Quy chế kiểm toán nội bộ trên cơ sở tham chiếu mẫu Quy chế kiểm toán nội bộ ban hành kèm theo Thông tư này.
143217,ent_f738d9f6982c7b6f,BAN_HANH_BOI,metadata,0.99,Bộ Tài chính
143217,ent_ffb6ed909ae04edb,KY_BOI,gemini,0.95,KT. BỘ TRƯỞNG THỨ TRƯỞNG (Đã ký) Đỗ Hoàng Anh Tuấn
146468,ent_015434e5efab2d77,BAN_HANH_BOI,metadata,0.99,Chính phủ
146468,ent_2e87ad75c32066d5,THUOC_LINH_VUC,metadata,0.99,Chứng khoán
146468,ent_3c0d3dae7afa29e9,KY_BOI,metadata,0.99,Nguyễn Xuân Phúc
146468,ent_f0c9b831b72a0444,AP_DUNG_CHO,gemini,0.95,"Tổ chức, cá nhân Việt Nam và tổ chức, cá nhân nước ngoài (sau đây gọi chung là tổ chức, cá nhân) thực hiện hành vi vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán quy định tại Nghị định này."
150974,133858,THAM_CHIEU,rule,0.95,Căn cứ Nghị định 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ;
150974,ent_5d6a62f10b7be468,KY_BOI,metadata,0.99,Tạ Anh Tuấn
150974,ent_5ed579e72aa58417,AP_DUNG_CHO,gemini,0.9,Chuẩn mực được áp dụng cho người làm công tác kiểm toán nội bộ và bộ phận kiểm toán nội bộ.
150974,ent_cb3942e64f2a0f5d,THUOC_LINH_VUC,metadata,0.99,"Kế toán, kiểm toán"
150974,ent_d04fab0e5fd0fa8d,AP_DUNG_CHO,gemini,0.95,"Chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ áp dụng đối với các doanh nghiệp, cơ quan nhà nước, đơn vị sự nghiệp công lập quy định tại Điều 8, Điều 9, Điều 10 Nghị định số 05/2019/NĐ-CP ngày 22 tháng 01 năm 2019 của Chính phủ về kiểm toán nội bộ và các tổ chức cá nhân có liên quan trong hoạt động kiểm toán nội bộ của các đơn vị này."
150974,ent_f738d9f6982c7b6f,BAN_HANH_BOI,metadata,0.99,Bộ Tài chính
163441,ent_015434e5efab2d77,BAN_HANH_BOI,metadata,0.99,Chính phủ
163441,ent_639b9b5a892fc242,AP_DUNG_CHO,gemini,0.95,Cơ quan quản lý nhà nước về hoạt động kinh doanh bảo hiểm.
163441,ent_84e5423ab8bd3c31,KY_BOI,metadata,0.99,Lê Minh Khái
163441,ent_a48b5f7376a16481,AP_DUNG_CHO,gemini,0.95,Tổ chức và cá nhân có liên quan đến hoạt động kinh doanh bảo hiểm.
163441,ent_d8da81143a9651e6,THUOC_LINH_VUC,gemini,0.95,Nghị định quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm.
163441,ent_e8d8481ba38b897b,THUOC_LINH_VUC,metadata,0.99,Bảo hiểm
163441,ent_f3a1d194eb2987e5,AP_DUNG_CHO,gemini,0.95,"Bên mua bảo hiểm, người được bảo hiểm, người thụ hưởng"
164719,117310,SUA_DOI_BO_SUNG,rule,0.96,"NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM Độc lập – Tự do – Hạnh phúc Số: 22/2023/TT-NHNN Hà Nội, ngày 29 tháng 12 năm 2023 THÔNG TƯ Sửa đổi, bổ sung một số điều của Thông tư số 41/2016/TT-NHNN ngày 30 tháng 12 năm 2016 của Thống đốc Ngân hàng Nhà nước Việt Nam quy định tỷ lệ an toàn vốn đối với ngân hàng, chi nhánh ngân hàng nước ngoài Căn cứ Luật Ngân hàng Nhà nước Việt Nam ngày 16 tháng 6 năm 2010;"
