entity_id,entity_type,canonical_name,original_name,source_doc_id,method,confidence,evidence
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,metadata,0.99,Bộ Tài chính
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,112924,gemini,1.0,BỘ TÀI CHÍNH CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,metadata,0.99,Bộ Tài chính
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,143217,gemini,0.95,Bộ trưởng Bộ Tài chính ban hành Thông tư ban hành Quy chế mẫu về kiếm toán nội bộ áp dụng cho doanh nghiệp.
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,metadata,0.99,Bộ Tài chính
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,150974,gemini,0.98,Bộ trưởng Bộ Tài chính ban hành Thông tư ban hành chuẩn mực kiểm toán nội bộ Việt Nam và các nguyên tắc đạo đức nghề nghiệp kiểm toán nội bộ.
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,metadata,0.99,Bộ Tài chính
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,30402,gemini,1.0,"Bộ trưởng Bộ Tài chính ban hành Thông tư hướng dẫn về đăng ký, quản lý và công khai danh sách kiểm toán viên hành nghề kiểm toán."
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,metadata,0.99,Bộ Tài chính
ent_f738d9f6982c7b6f,CoQuan,Bộ Tài chính,Bộ Tài chính,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.95,BỘ TÀI CHÍNH __________ Số: 17/VBHN-BTC XÁC THỰC VĂN BẢN HỢP NHẤT
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,112025,metadata,0.99,Chính phủ
ent_015434e5efab2d77,CoQuan,Chính phủ,CHÍNH PHỦ,112025,gemini,0.95,"Chính phủ ban hành Nghị định quy định chi tiết thi hành Luật kinh doanh bảo hiểm và Luật sửa đổi, bổ sung một số điều của Luật kinh doanh bảo hiểm."
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,133858,metadata,0.99,Chính phủ
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,133858,gemini,0.95,Chính phủ ban hành Nghị định về kiểm toán nội bộ.
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,146468,metadata,0.99,Chính phủ
ent_015434e5efab2d77,CoQuan,Chính phủ,CHÍNH PHỦ,146468,gemini,1.0,CHÍNH PHỦ ------- CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,163441,metadata,0.99,Chính phủ
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,163441,gemini,0.99,Chính phủ ban hành Nghị định quy định chi tiết thi hành một số điều của Luật Kinh doanh bảo hiểm.
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,95652,metadata,0.99,Chính phủ
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,95652,gemini,0.98,Chính phủ ban hành Nghị định quy định về đầu tư giá n tiếp ra nước ngoài.
ent_015434e5efab2d77,CoQuan,Chính phủ,Chính phủ,f69936f0-6937-11f1-a48d-29bc6b0fd706,gemini,0.95,Chính phủ ban hành Nghị định quy định xử phạt vi phạm hành chính trong lĩnh vực chứng khoán và thị trường chứng khoán
ent_98c0694606f989b8,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,metadata,0.99,Ngân hàng Nhà nước Việt Nam
ent_98c0694606f989b8,CoQuan,Ngân hàng Nhà nước Việt Nam,Ngân hàng Nhà nước Việt Nam,117310,gemini,0.99,NGÂN HÀNG NHÀ NƯỚC VIỆT NAM CỘNG HÒA XÃ HỘI CHỦ NGHĨA VIỆT NAM
